PassengerId,Survived
1167,1
1215,0
823,0
864,0
11,1
956,1
996,1
145,0
370,1
613,1
1049,1
67,1
1198,0
437,0
1094,0
456,1
47,0
671,1
472,0
1014,1
1133,1
578,1
895,0
365,0
840,1
1205,0
553,0
558,0
1184,0
1061,1
1143,1
1199,1
342,1
1175,1
191,1
476,0
1309,1
411,0
1158,0
310,1
1239,1
805,1
274,0
1138,0
105,0
1078,1
989,0
874,0
361,0
65,0
1080,0
453,0
1127,0
713,1
373,0
536,1
450,1
1263,1
238,1
1204,0
471,0
668,0
97,0
749,0
1214,0
167,1
705,0
607,0
790,0
211,0
129,1
108,1
182,0
1252,0
693,1
555,1
4,1
787,1
1103,1
287,1
490,1
822,1
1241,1
1096,0
776,0
1072,0
267,0
277,0
263,0
1228,0
324,1
1303,1
464,0
175,0
82,1
1060,1
275,1
519,1
1011,0
348,1
499,0
1170,0
571,1
742,0
240,0
829,1
20,1
59,1
478,0
636,1
395,1
1186,0
757,0
1000,0
1290,0
719,0
681,0
235,0
220,0
962,1
308,1
629,0
612,0
1171,1
779,0
948,0
434,0
77,0
1247,0
523,0
530,0
125,0
157,1
933,0
815,0
1144,0
1032,0
551,1
351,0
759,0
1183,1
1126,0
751,1
44,1
983,0
736,0
236,0
562,0
1077,0
1278,0
1069,1
1294,1
1226,0
297,0
560,1
168,0
1095,1
1076,1
1223,0
228,0
409,0
332,0
144,0
1086,1
512,0
626,0
965,0
92,0
205,1
1041,0
295,0
17,0
488,0
642,1
312,1
592,1
321,0
404,0
886,0
591,0
1261,1
603,0
212,1
381,1
413,1
726,0
49,0
994,0
489,0
808,0
283,0
272,1
111,0
27,0
1123,1
858,1
802,1
845,0
950,0
396,0
158,0
78,0
318,0
774,0
850,1
120,0
63,0
728,1
470,1
746,0
711,1
1159,0
353,0
57,1
84,0
628,1
1132,1
501,0
406,0
214,0
39,0
1057,1
594,0
202,0
615,0
847,0
976,0
1275,0
225,1
1265,0
161,0
1266,1
61,0
30,0
657,0
102,0
14,0
557,1
720,0
289,1
1048,1
1088,1
410,0
894,0
698,1
481,0
1157,0
985,0
869,0
459,1
1085,0
934,0
418,1
1130,0
535,0
625,0
710,1
177,0
1003,1
854,1
1218,1
598,0
386,0
957,0
984,1
64,0
1282,0
31,0
8,0
341,1
355,0
305,0
239,0
936,1
224,0
1188,1
905,0
1141,0
151,0
715,0
1052,1
1172,0
1225,1
766,1
56,1
824,1
475,0
857,1
1264,1
616,1
241,0
701,1
502,0
517,1
830,1
1006,0
165,0
768,0
635,0
1156,1
1016,1
1236,0
1238,0
126,1
1079,0
206,0
495,0
678,1
372,0
425,0
932,1
136,0
852,0
273,1
1181,0
1212,0
699,0
926,1
1276,0
1251,0
213,0
767,0
712,0
319,1
831,1
37,1
547,1
543,0
913,1
1071,1
754,0
402,0
959,0
1134,1
927,0
1124,0
128,1
357,1
622,1
889,0
19,0
871,0
51,0
62,1
1287,1
1289,1
186,0
590,0
662,0
446,1
533,0
569,0
290,0
32,1
109,0
937,0
208,1
1203,1
265,0
371,1
280,1
1073,0
1068,1
1224,0
1197,1
1146,0
812,0
194,1
1211,0
596,0
966,1
836,1
741,1
41,0
483,0
98,1
1302,0
1246,1
611,0
920,0
118,0
963,0
96,0
73,0
13,0
1092,1
702,1
1002,0
1008,0
696,0
1235,1
457,0
350,0
323,1
50,0
1089,1
1142,1
1222,1
397,0
1031,0
68,0
827,0
958,0
1113,0
133,0
7,0
401,1
1046,0
1227,0
588,1
778,1
587,0
676,0
810,1
707,1
420,0
249,1
801,0
1058,0
1009,1
336,0
563,0
251,0
181,0
322,0
679,0
117,0
315,0
449,1
230,0
385,0
666,0
1047,1
1026,0
737,0
55,0
266,0
544,1
997,0
1091,0
247,0
203,0
53,1
1081,0
524,1
1129,0
1122,0
1166,0
282,0
853,0
929,0
770,0
492,0
583,0
1242,1
246,0
875,1
893,1
227,1
