iter	RMSE
0	21.15714148
1	20.7218842
2	20.29648247
3	19.8807264
4	19.47441076
5	19.07733495
6	18.6893028
7	18.31012255
8	17.93960672
9	17.57757199
10	17.22383915
11	16.87823298
12	16.54058214
13	16.21071913
14	15.88848016
15	15.57370509
16	15.26623731
17	14.96592369
18	14.6726145
19	14.38616329
20	14.10642687
21	13.83326518
22	13.56654122
23	13.30612103
24	13.05187353
25	12.80367053
26	12.5613866
27	12.32489903
28	12.09408774
29	11.86883526
30	11.64902659
31	11.43454919
32	11.22529291
33	11.02114991
34	10.8220146
35	10.62778358
36	10.43835561
37	10.2536315
38	10.07351409
39	9.897908186
40	9.726720492
41	9.559859572
42	9.397235789
43	9.238761252
44	9.084349771
45	8.933916802
46	8.787379403
47	8.644656184
48	8.505667263
49	8.370334219
50	8.238580054
51	8.110329146
52	7.985507211
53	7.864041264
54	7.745859582
55	7.630891665
56	7.519068204
57	7.410321048
58	7.304583171
59	7.201788641
60	7.101872594
61	7.004771206
62	6.910421666
63	6.818762154
64	6.729731815
65	6.643270745
66	6.559319963
67	6.4778214
68	6.39871788
69	6.321953102
70	6.247471632
71	6.175218886
72	6.105141121
73	6.037185425
74	5.971299708
75	5.907432694
76	5.845533916
77	5.785553707
78	5.727443201
79	5.671154321
80	5.616639786
81	5.563853097
82	5.512748545
83	5.463281202
84	5.415406926
85	5.369082354
86	5.324264905
87	5.280912779
88	5.238984957
89	5.198441198
90	5.159242039
91	5.121348799
92	5.08472357
93	5.049329222
94	5.015129399
95	4.982088519
96	4.950171767
97	4.919345098
98	4.889575232
99	4.860829647
