iter	Passed	Remaining
0	9	920
1	18	912
2	26	872
3	35	855
4	40	763
5	44	699
6	49	653
7	53	616
8	57	585
9	62	559
10	66	541
11	71	527
12	76	510
13	80	496
14	85	482
15	89	470
16	93	458
17	98	448
18	102	438
19	107	429
20	111	420
21	116	411
22	120	403
23	124	395
24	129	387
25	133	379
26	137	372
27	142	365
28	146	358
29	150	351
30	155	345
31	159	339
32	164	332
33	168	327
34	172	321
35	179	318
36	184	313
37	191	311
38	196	307
39	201	301
40	205	295
41	209	289
42	214	284
43	219	279
44	225	275
45	231	271
46	236	266
47	240	260
48	245	255
49	249	249
50	253	244
51	258	238
52	262	232
53	267	227
54	271	222
55	276	216
56	280	211
57	284	206
58	289	201
59	294	196
60	299	191
61	303	186
62	309	181
63	313	176
64	318	171
65	322	166
66	327	161
67	331	155
68	335	150
69	340	145
70	344	140
71	349	136
72	354	131
73	359	126
74	365	121
75	371	117
76	376	112
77	381	107
78	385	102
79	390	97
80	394	92
81	398	87
82	403	82
83	408	77
84	412	72
85	416	67
86	421	62
87	425	58
88	430	53
89	435	48
90	439	43
91	444	38
92	448	33
93	453	28
94	457	24
95	462	19
96	466	14
97	471	9
98	475	4
99	480	0
